Zeit,Winkelgeschwindigkeit
0,222.047768755727
0.5,217.084052363055
1,212.434495235742
1.5,207.784938108429
2,203.323876540331
2.5,198.988478678378
3,194.715912669495
3.5,190.443346660613
4,186.296444357875
4.5,182.463701320495
5,178.630958283116
5.5,174.861047098808
6,170.839808502213
6.5,165.059278019608
7,164.116800223531
7.5,160.661048304582
8,157.142464532561
8.5,153.498217054397
9,150.042465135449
9.5,146.649545069572
10,143.44512056291
10.5,140.30352790932
11,136.973439696515
11.5,134.648661132859
12,132.009723303843
12.5,129.307953621756
13,126.794679498884
13.5,124.281405376012
14,121.893794959284
14.5,119.506184542556
15,117.181405978899
15.5,114.919459268315
16,112.65751255773
16.5,110.458397700217
17,108.322114695776
17.5,106.185831691335
18,104.049548686894
18.5,101.976097535525
19,100.028310090299
19.5,98.0176907920015
20,96.0070714937041
20.5,94.0592840484784
21,92.1743284563245
21.5,90.2893728641707
22,88.4672491250886
22.5,86.6451253860065
23,84.8858334999962
23.5,83.1893734670577
24,81.4300815810475
24.5,79.7964534011807
25,78.2256570743859
25.5,76.6548607475909
26,75.1468962738679
26.5,73.576099947073
27,72.0681354733499
27.5,70.5601709996268
28,69.1150383789754
28.5,67.6070739052524
29,66.2247731376728
29.5,64.8424723700933
30,63.397339749442
30.5,62.0778708349343
31,60.7584019204266
31.5,59.4389330059189
32,58.1194640914112
32.5,56.8628270299753
33,55.6690218216111
33.5,54.4123847601752
34,53.2185795518111
34.5,52.024774343447
35,50.8309691350829
