Drehfrequnez,praezessionsfrequenz
0.020203245,0.044464206
0.021901007,0.044662796
0.023457659,0.050709939
0.025100402,0.052854123
0.026246719,0.057636888
0.02763958,0.059347181
0.028719127,0.061050061
0.029877502,0.066357001
0.031201248,0.068917988
0.032594524,0.068728522
0.033783784,0.074571216
0.035149385,0.076923077
0.036509675,0.078308536
0.037721614,0.083333333
0.039093041,0.090991811
0.040733198,0.095785441
0.042301184,0.098619329
0.043649062,0.097276265
0.045024764,0.102249489
0.046468401,0.105820106
0.047984645,0.106044539
0.051786639,0.116009281
0.053248136,0.114678899
0.054794521,0.114678899
0.056433409,0.121212121
0.060938452,0.121065375
0.062853551,0.130890052
0.064724919,0.134770889
0.066622252,0.134408602
0.068493151,0.139470014
0.070126227,0.153846154
0.07199424,0.150829563
0.073855244,0.15600624
0.075930144,0.161030596
0.079176564,0.15625
0.081234768,0.175746924
0.083752094,0.169204738
0.087642419,0.174216028
0.089605735,0.191204589
