Drehfrequenz,Umlaufzeit
47.5785,22.375
44.145,20.385
41.235,19.46
38.97,18.545
37.14,17.3
35.5,16.795
34.145,16.34
32.76,15.31
31.365,14.67
30.14,14.175
29.025,13.615
27.92,13.125
26.95,12.605
26.045,11.985
25.065,11.395
24.095,10.935
23.275,10.64
22.56,10.595
21.865,10.03
21.18,9.85
20.075,9.505
19.045,8.805
18.515,8.65
17.985,8.195
17.065,8.345
16.16,7.57
15.68,7.375
15.23,7.31
14.805,7.31
14.43,7.08
14.075,6.605
13.715,6.595
13.355,6.415
12.9,6.275
12.47,6.2
12.125,5.825
11.675,5.865
11.285,5.715
11.16,5.295
